lat,lon,severity
51.4948,-0.1291,6
51.4681,-0.1277,2
51.5679,-0.2042,2
51.3852,-0.2526,6
51.4702,-0.1495,20
51.5487,-0.0418,2
51.4947,-0.1249,2
51.5101,-0.1898,2
51.5087,-0.1998,2
51.4607,-0.2612,20
51.5411,-0.2605,2
51.519,-0.1209,2
51.5823,-0.0999,20
51.5372,-0.0866,2
51.537,-0.3918,2
51.4435,-0.3925,2
51.5097,-0.1186,28
51.5191,-0.1211,4
51.4552,-0.0097,2
51.4529,-0.0967,2
51.5386,0.0049,2
51.5883,-0.0839,20
51.5058,-0.0879,2
51.4806,-0.2178,22
51.5275,-0.0559,2
51.6267,-0.0539,2
51.4763,-0.1483,28
51.5647,-0.1045,32
51.511,0.0001,20
51.5348,-0.4525,2
51.4655,-0.18,10
51.4307,-0.1752,20
51.4854,-0.136,2
51.5754,-0.0297,2
51.5151,-0.1269,2
51.5438,-0.1751,20
51.4778,-0.1122,2
51.5341,0.1348,2
51.5133,-0.1591,2
51.4778,-0.3725,2
51.5279,-0.4647,20
51.5155,-0.1407,2
51.6049,-0.2337,2
51.597,-0.0688,2
51.4526,-0.0166,26
51.5936,0.0374,2
51.3654,-0.1183,20
51.5168,-0.0681,4
51.3586,-0.0304,20
51.5042,-0.1148,22
51.5323,0.1176,20
51.5269,-0.1085,52
51.414,-0.2876,2
51.5599,0.1553,2
51.4937,-0.1843,4
51.533,-0.0801,20
51.5632,-0.3553,2
51.6315,-0.304,2
51.5738,0.066,20
51.4687,-0.1269,78
51.5595,-0.3043,20
51.4632,-0.0666,4
51.3579,-0.2052,2
51.4399,-0.358,20
51.473,-0.1979,2
51.481,-0.0944,6
51.5222,-0.2015,42
51.5016,-0.3156,2
51.4243,-0.0836,2
51.496,-0.0828,2
51.3976,0.0217,2
51.5059,-0.1203,20
51.5146,-0.1492,2
51.453,-0.0166,4
51.5549,-0.0167,2
51.547,-0.0756,2
51.4826,-0.0945,20
51.4858,-0.0348,2
51.4821,-0.1244,2
51.4596,-0.0038,2
51.5327,-0.0539,2
51.6515,-0.2209,2
51.5009,0.0554,4
51.4803,-0.1785,2
51.5637,-0.0588,4
51.5319,-0.3298,20
51.3547,-0.1918,2
51.4245,-0.014,2
51.475,-0.3934,2
51.5151,-0.1229,2
51.5249,-0.1107,2
51.4908,-0.1263,2
51.4579,-0.1816,2
51.5198,-0.1701,12
51.4462,-0.0721,2
51.4734,-0.1218,20
51.5286,-0.2014,2
51.4912,-0.1669,2
51.4674,-0.3784,2
51.5318,0.1024,2
51.5384,-0.0767,4
51.5048,-0.0906,2
51.5224,-0.124,2
51.5067,-0.2463,2
51.5048,-0.1263,2
51.4552,-0.1193,2
51.4561,0.201,2
51.5316,-0.0107,4
51.5396,-0.0627,2
51.4619,-0.1378,22
51.5565,-0.3622,2
51.5672,-0.1762,2
51.5639,-0.1062,2
51.4864,-0.1218,20
51.4318,-0.1642,2
51.565,-0.1047,2
51.5106,-0.1837,20
51.4815,-0.0855,4
51.4105,-0.3008,4
51.4384,0.0934,20
51.4874,-0.2674,2
51.5506,-0.1094,2
51.6208,-0.1218,2
51.5001,-0.1744,2
51.4583,-0.1186,2
51.4635,-0.0124,2
51.3725,-0.1746,2
51.4186,-0.1777,2
51.4651,-0.2483,2
51.5622,0.0093,2
51.4862,-0.1242,20
51.4742,-0.0468,2
51.4793,-0.1151,2
51.5627,-0.0108,20
51.5772,-0.0987,2
51.4206,-0.2861,2
